,freq,nb_pers,nb_f,nb_h
33,"[-0.00032179 -0.00171413 -0.0043924  ... -0.00340293 -0.00023451
 -0.00395724]",2,0,2
34,"[ 0.00014577  0.0001609   0.00016675 ... -0.00013147  0.00016805
  0.00039471]",4,3,1
35,"[ 0.00091724  0.0013711   0.0010837  ...  0.00021083 -0.00030699
 -0.0003532 ]",3,0,3
36,"[ 0.00419951  0.0039704   0.00297183 ... -0.01226021 -0.04541799
  0.03223718]",4,3,1
37,"[-0.02088728 -0.01399354  0.00304424 ...  0.00201017  0.00113609
  0.00115176]",4,2,2
38,"[ 0.02777921  0.02764381  0.03004502 ... -0.1071142  -0.10699452
 -0.10940257]",3,2,1
39,"[ 0.00067963  0.00065636  0.00035791 ... -0.01622617 -0.01458302
 -0.00852995]",2,1,1
40,"[ 3.4727142e-04  2.9810861e-04  2.9203249e-05 ... -2.9004638e-03
 -3.0501131e-03 -3.2329038e-03]",2,1,1
41,"[-0.00390355 -0.00412837 -0.00248837 ... -0.06611171 -0.07083726
 -0.07259603]",2,1,1
42,"[-0.00032179 -0.00171413 -0.0043924  ... -0.00082886  0.0032411
 -0.00049809]",2,1,1
43,"[-0.03364501 -0.03475469 -0.03067999 ... -0.03155173 -0.03045869
 -0.03123556]",4,3,1
44,[0.00044893 0.00050092 0.00032344 ... 0.00903582 0.00794334 0.00724051],4,1,3
45,"[ 0.00205241  0.00162573  0.00041195 ... -0.03498003 -0.03235888
 -0.0204675 ]",3,2,1
46,"[ 0.01765199  0.01267545  0.00501082 ... -0.05641247 -0.05945287
 -0.0588543 ]",2,2,0
47,"[-0.01663226  0.01313767  0.01187541 ... -0.04123928 -0.04061822
 -0.04045163]",4,2,2
48,"[-0.00063545 -0.00021938  0.00026344 ... -0.00537144 -0.00474428
 -0.00424538]",4,2,2
49,"[-2.6218768e-05 -1.1084040e-05  1.3818577e-06 ...  2.1756157e-02
  2.7483607e-02  3.4068450e-02]",2,1,1
50,"[-0.00162274 -0.00244957 -0.00233823 ... -0.00367498 -0.00238096
  0.00698773]",3,2,1
51,[0.00157576 0.0054187  0.0072834  ... 0.04335051 0.04118682 0.03591095],4,2,2
52,"[ 0.00033475 -0.00142906 -0.00350054 ... -0.01559428 -0.00801739
  0.00291764]",2,1,1
53,"[-0.00058652 -0.00026119 -0.00126621 ... -0.06750837 -0.09093265
 -0.1142809 ]",4,1,3
54,"[-4.2048399e-05  9.4895845e-04  1.6046632e-03 ... -3.8565595e-02
 -3.8443103e-02 -3.8243845e-02]",2,2,0
55,"[ 0.08427916  0.08627424  0.08878745 ... -0.2030532  -0.20335759
 -0.19803415]",3,1,2
56,"[-0.00053825 -0.00068937 -0.00035772 ... -0.00856518 -0.01663413
 -0.02452865]",3,2,1
57,"[ 0.00027364  0.0001934   0.00017859 ... -0.00687683 -0.01705349
 -0.02397056]",3,0,3
58,"[-0.0071647  -0.00771224 -0.00736158 ... -0.02415282 -0.0191664
 -0.01388895]",4,3,1
59,"[-0.02093181 -0.00051714  0.00988393 ... -0.00935192 -0.01611936
  0.00437871]",3,2,1
60,"[ 0.00033011 -0.00067722  0.00124747 ... -0.0030156   0.05198235
  0.11541793]",4,3,1
61,"[-8.8573480e-04  9.7441842e-04  2.1897266e-03 ...  2.4689091e-04
  3.6740559e-04 -4.0377116e-05]",2,1,1
62,"[-0.00247935 -0.00328599 -0.00351421 ... -0.03000697 -0.03192398
 -0.03287894]",4,1,3
63,[0.00129697 0.00233664 0.00234501 ... 0.05667527 0.06099717 0.06697637],2,1,1
64,"[-0.00067594 -0.00068055 -0.00052067 ... -0.00119592 -0.00146274
 -0.00066208]",2,2,0
65,"[-2.2617926e-06  2.3952845e-05  3.6661568e-05 ...  3.8030364e-03
  3.2001853e-03  2.9134422e-03]",4,3,1
66,[0.00175673 0.00315486 0.00295475 ... 0.0758239  0.06974661 0.06252164],3,2,1
67,[0.0004653  0.00193536 0.0039521  ... 0.00018934 0.00025901 0.00028763],4,2,2
68,"[-8.8929592e-05 -5.7117781e-04 -6.8997918e-04 ...  2.1927515e-02
  2.2157369e-02  1.9562699e-02]",4,3,1
69,"[-0.00076402  0.00476157  0.00749405 ... -0.00245069 -0.00338916
 -0.00475464]",3,3,0
70,"[ 0.00989105  0.0107116   0.00867828 ... -0.01130791 -0.0104101
 -0.00333278]",3,2,1
71,"[ 0.00176738  0.0026483   0.00257272 ... -0.01175998  0.07216284
  0.05382318]",2,2,0
72,[0.00930668 0.00674227 0.0055757  ... 0.01578609 0.0077319  0.00297416],3,1,2
73,"[-0.00088217 -0.00111019 -0.00093218 ...  0.00052233 -0.00050506
 -0.00191986]",2,1,1
74,[0.00047282 0.00050101 0.00035427 ... 0.00766257 0.00777865 0.00778991],2,1,1
75,"[-0.00126364 -0.00018725 -0.00092321 ...  0.01089992  0.02409951
  0.03203816]",3,1,2
76,[0.01924254 0.01695421 0.01214061 ... 0.00553841 0.00941479 0.01190537],2,2,0
77,"[ 8.0496866e-05  2.9080740e-05 -2.1085592e-05 ... -1.3621120e-02
 -1.6949905e-02 -2.1064850e-02]",2,1,1
78,"[-0.00016867 -0.0008005  -0.00118982 ... -0.06881617 -0.07536661
 -0.08257891]",4,1,3
79,"[-0.0020134  -0.00237413 -0.00201338 ...  0.00623454  0.00623173
  0.00982139]",2,1,1
80,[0.00456928 0.0087083  0.00807342 ... 0.00013056 0.00012574 0.00013199],3,1,2
81,"[-0.00025674 -0.00020482 -0.00028482 ... -0.00030525 -0.00034102
 -0.00037357]",3,2,1
82,"[-0.01013052 -0.00510312 -0.00017783 ... -0.03430447 -0.02963258
 -0.0271961 ]",4,0,4
83,"[-0.00103227 -0.00092726 -0.00084467 ... -0.00112287 -0.01241936
 -0.01782954]",4,2,2
84,"[ 0.00215369  0.00252365  0.00123636 ... -0.00281477 -0.00140205
 -0.00055845]",2,2,0
85,"[-3.1016258e-05 -1.3577532e-05  2.0480040e-05 ... -7.6160254e-04
 -9.3026962e-03 -1.5261011e-02]",3,1,2
86,"[ 2.7995600e-07  1.5420573e-04  2.4970854e-04 ... -9.9492529e-05
 -3.8992678e-04 -3.6535179e-04]",2,2,0
87,"[-0.00032794 -0.00039142 -0.00035509 ...  0.06416047  0.09326677
  0.04289985]",4,2,2
88,"[-0.00067594 -0.00068055 -0.00052067 ... -0.00385583 -0.00377286
 -0.00416131]",2,2,0
89,"[-0.10255302 -0.10502582 -0.10694898 ...  0.00152564 -0.00166959
 -0.00169391]",3,3,0
90,[0.01599322 0.0246356  0.01085618 ... 0.00400509 0.00537499 0.0034265 ],2,1,1
91,"[-0.00172158 -0.00073183  0.00081115 ...  0.00164997  0.00127383
  0.00020742]",3,2,1
92,"[ 0.00024468  0.00027526  0.00018988 ...  0.00138373 -0.00056263
 -0.00308917]",3,1,2
93,"[ 5.8178572e-05 -2.2341594e-05 -8.1759907e-05 ...  1.9769232e-04
  2.1646086e-04  2.1296319e-04]",4,1,3
94,"[ 0.0009215   0.00094782  0.00063511 ... -0.04478451 -0.0611621
 -0.07668206]",3,1,2
95,"[1.6337289e-06 2.5747444e-05 2.0982990e-05 ... 7.5837146e-03 9.9751679e-04
 1.0966387e-03]",2,2,0
96,"[-0.03448257 -0.02442478 -0.01140566 ... -0.06000162 -0.06591618
 -0.07057399]",3,3,0
97,"[ 0.00050013  0.00076268  0.00065905 ...  0.00117662 -0.00404228
  0.0116698 ]",2,2,0
98,[0.00086119 0.00094647 0.00081081 ... 0.0273282  0.03802126 0.02664358],2,1,1
99,"[-0.00118377 -0.00104353 -0.00050205 ...  0.00226497  0.00140238
  0.0004694 ]",3,0,3
100,"[ 0.01924254  0.01695421  0.01214061 ... -0.17127429 -0.16645135
 -0.15980808]",3,1,2
101,"[ 0.00022126  0.00024446  0.00019166 ...  0.00135774 -0.00087937
 -0.00219108]",2,2,0
102,"[-0.00576164 -0.00654924 -0.00555869 ... -0.00177392  0.00059314
  0.00346921]",3,0,3
103,"[-0.00341233 -0.00413003 -0.00332485 ...  0.03790995  0.03782072
  0.03772952]",2,0,2
104,[0.00026684 0.00037408 0.00049249 ... 0.09572833 0.12000118 0.13547984],2,1,1
105,"[-3.75530188e-04  2.24322264e-07  3.71300586e-04 ... -1.30215585e-02
 -2.11839303e-02 -1.33547820e-02]",4,2,2
106,"[-0.00117159 -0.00111578 -0.00122724 ... -0.10944981 -0.11117776
 -0.10881062]",2,2,0
107,"[-1.4856859e-04  5.9282225e-05 -3.2638697e-04 ... -1.4265816e-02
 -3.1663697e-02 -5.0980553e-02]",3,1,2
108,"[-0.00550876 -0.00623887 -0.00532399 ...  0.00228028 -0.00102789
 -0.00241247]",2,1,1
109,"[-3.31527081e-05  2.62722479e-05  1.05721076e-04 ...  4.04050294e-03
  5.92690427e-03  6.28488231e-03]",4,0,4
110,"[-0.1048486  -0.11841137 -0.10003207 ... -0.01803886 -0.01787312
 -0.01771596]",2,1,1
111,"[-0.00136639 -0.00151048 -0.00123588 ... -0.00870621 -0.00750259
 -0.00651235]",3,2,1
112,"[-3.1016258e-05 -1.3577532e-05  2.0480040e-05 ... -2.2003630e-01
 -1.9269507e-01 -1.4911677e-01]",2,1,1
113,"[ 0.01148709  0.01294701  0.01036493 ... -0.06954899 -0.06980214
 -0.07842506]",4,1,3
114,"[-9.15233250e-05 -1.01014506e-04 -8.15754538e-05 ...  1.21936679e-01
  1.20401047e-01  9.48072225e-02]",3,0,3
115,"[-0.00261826 -0.0024343  -0.00299638 ... -0.00208295 -0.00220465
 -0.00243184]",2,1,1
116,"[-3.5139459e-05 -3.7563052e-05 -6.2159788e-06 ...  4.1108385e-02
  3.8828552e-02  3.7329193e-02]",3,2,1
117,"[-0.0646697  -0.03739822 -0.00635569 ... -0.06220722 -0.06549911
 -0.07029233]",3,0,3
118,[0.00340272 0.01106603 0.00742913 ... 0.00828824 0.00743492 0.01113396],3,2,1
119,"[ 0.03390239  0.05077804  0.03118837 ... -0.00357223 -0.00334287
 -0.00381491]",2,1,1
120,"[-0.00021761 -0.00044496 -0.00052836 ... -0.03223582 -0.00388892
  0.04359004]",2,2,0
121,"[-0.00191604 -0.00163648 -0.00077194 ...  0.03868771  0.0491305
  0.04818207]",2,0,2
122,"[ 3.6193148e-04  3.8233545e-04  2.1931159e-05 ... -6.4572409e-02
 -6.9028452e-02 -7.1768761e-02]",4,2,2
123,"[-0.01087604 -0.01695676 -0.0009742  ... -0.00114258  0.00387911
 -0.01279004]",2,1,1
124,[0.00291781 0.00310491 0.00341909 ... 0.00606322 0.00459736 0.00516341],2,2,0
125,"[ 0.00026684  0.00037408  0.00049249 ... -0.03199585 -0.02866507
 -0.0209558 ]",3,2,1
126,"[-0.00026745 -0.00027963 -0.00022168 ... -0.0001398  -0.00081855
 -0.00141266]",4,3,1
127,"[-9.58001066e-04 -6.47983048e-04 -3.60966340e-04 ... -1.01210295e-04
 -7.14439884e-05 -6.61333324e-05]",4,3,1
128,"[ 0.01645256  0.01970546  0.01763625 ... -0.01177173 -0.01162017
 -0.01086532]",3,2,1
129,[0.1039147  0.08716796 0.06163032 ... 0.06719584 0.05960976 0.07593702],4,2,2
130,"[ 2.4420852e-04  6.5288245e-05  1.3325964e-04 ... -3.3829487e-03
 -3.2810888e-03 -7.2785979e-04]",4,1,3
131,"[-0.00163575 -0.00239019 -0.00238606 ... -0.1764185  -0.07724325
  0.01678028]",2,0,2
132,[0.0004653  0.00193536 0.0039521  ... 0.00015635 0.00015104 0.00015263],3,2,1
133,"[-0.00018236 -0.00028202 -0.0003423  ... -0.0050372  -0.00234889
 -0.00033038]",3,2,1
134,"[ 0.03063496  0.01117605 -0.01532657 ... -0.00018463  0.00032998
  0.00054942]",4,1,3
135,"[-9.3605146e-03 -1.3989642e-01 -2.2722699e-01 ...  8.6795262e-05
  8.2255086e-05  4.4514069e-05]",3,1,2
136,"[-0.21505085 -0.2820291  -0.27517042 ...  0.00215024  0.00239076
  0.00141563]",4,3,1
137,"[-0.03557089 -0.04058706 -0.03459585 ... -0.01118518 -0.01167484
 -0.01209427]",3,0,3
138,"[-4.2048399e-05  9.4895845e-04  1.6046632e-03 ...  4.1353427e-02
  4.2837929e-02  4.2420678e-02]",4,3,1
139,"[ 0.00035442  0.00037455  0.0002078  ...  0.02649023  0.00214391
 -0.03371406]",4,3,1
140,"[ 3.7091526e-03  1.7437636e-03  4.9466380e-06 ...  9.5504653e-03
  1.2609730e-02 -2.9578346e-03]",2,1,1
141,"[ 5.8178572e-05 -2.2341594e-05 -8.1759907e-05 ... -2.9561168e-03
 -2.7115461e-03 -2.6000598e-03]",4,2,2
142,[0.00067963 0.00065636 0.00035791 ... 0.03925039 0.04294155 0.04334529],2,1,1
143,"[ 0.00014577  0.0001609   0.00016675 ...  0.02083231  0.00775491
 -0.00204377]",3,1,2
144,"[-8.2559825e-05  1.7853909e-05  1.5570066e-04 ...  3.0054089e-03
  3.5450147e-03  3.7592980e-03]",2,1,1
145,"[-0.04817529  0.00881324  0.03625773 ... -0.17431056 -0.17693022
 -0.15607594]",2,2,0
146,"[-0.00053825 -0.00068937 -0.00035772 ...  0.01035634  0.01056314
  0.01067919]",3,3,0
147,"[-0.00129644 -0.00254668 -0.00282929 ...  0.09264537  0.09139513
  0.0904995 ]",4,2,2
148,[0.00067963 0.00065636 0.00035791 ... 0.04182439 0.06026045 0.0760027 ],3,1,2
149,"[ 4.7202152e-03  5.3866324e-03  4.6005272e-03 ... -9.7778873e-05
 -3.8875347e-05  3.5479101e-05]",3,3,0
150,"[-3.31527081e-05  2.62722479e-05  1.05721076e-04 ...  2.47050654e-02
 -2.42538808e-04 -3.42645012e-02]",3,1,2
151,"[-0.00393763 -0.00349672 -0.00065044 ... -0.00011232 -0.00014922
 -0.00015165]",4,3,1
152,"[-0.00101863 -0.00151511 -0.00180949 ... -0.00051404 -0.00037812
 -0.00015712]",2,1,1
153,"[-0.04394598 -0.03359972 -0.02394472 ... -0.0017523  -0.00197139
 -0.00233941]",4,0,4
154,"[ 0.00205241  0.00162573  0.00041195 ... -0.01309206 -0.01289805
 -0.0123564 ]",2,1,1
155,"[ 0.06172225  0.046477    0.03703341 ... -0.00010112 -0.00054612
 -0.00116549]",3,3,0
156,"[-0.00504718 -0.00597248 -0.00494261 ...  0.03854417  0.0198504
  0.00132359]",3,2,1
157,"[-2.8987144e-05 -3.7583872e-05 -1.5882651e-05 ...  1.2690736e-01
  1.1541862e-01  1.0891665e-01]",4,1,3
158,"[-3.1016258e-05 -1.3577532e-05  2.0480040e-05 ...  1.1847336e-02
 -2.8290672e-02 -1.7140505e-03]",2,2,0
159,"[-0.02675625 -0.01241681  0.00058792 ...  0.00171621  0.00183368
  0.00201028]",2,1,1
160,"[-0.08597087 -0.08432174 -0.08036022 ... -0.03515194 -0.02401496
 -0.026352  ]",4,1,3
161,"[ 9.7186654e-05  1.7858247e-04  1.9432386e-05 ... -3.4294210e-02
 -3.8591299e-02 -4.3339383e-02]",3,0,3
162,[0.00215988 0.00241607 0.00232693 ... 0.00151574 0.00154312 0.00160338],3,1,2
163,[0.00091398 0.00293563 0.00143942 ... 0.02838977 0.1141678  0.09975577],4,3,1
164,"[-0.00604917 -0.00494739 -0.0018171  ... -0.00052629 -0.0025092
 -0.00435469]",2,2,0
165,"[-0.00063545 -0.00021938  0.00026344 ... -0.00296236 -0.00115268
  0.00139037]",3,1,2
166,"[ 0.00241896 -0.00377325 -0.03184741 ... -0.01739471 -0.00454161
 -0.01451233]",3,2,1
167,"[ 0.01103387  0.01195653  0.00895137 ... -0.00813523 -0.00736081
 -0.00639235]",3,0,3
168,[0.01797911 0.02152701 0.01753538 ... 0.01660208 0.00945777 0.00987895],3,1,2
169,"[ 0.00058698  0.00069957  0.0005862  ... -0.03205631 -0.00744655
  0.01818701]",2,1,1
170,"[-2.77057134e-05 -1.32102405e-05  8.60998716e-06 ...  4.26867651e-03
  3.60183720e-03  9.87580325e-03]",3,1,2
171,"[ 0.00252445 -0.00465825 -0.00636897 ...  0.03535334  0.03731377
  0.0369528 ]",2,0,2
172,"[-0.00044342 -0.00045272 -0.00029719 ...  0.00082391  0.00052252
  0.00013358]",3,1,2
173,"[ 0.00050198  0.00060522  0.00031267 ... -0.00437336 -0.00501983
 -0.00271756]",3,0,3
174,"[-9.15233250e-05 -1.01014506e-04 -8.15754538e-05 ...  5.61186520e-04
  7.76093744e-04  7.94005173e-04]",2,1,1
175,"[-0.05006349 -0.04652835 -0.04201524 ... -0.06359443 -0.05926522
 -0.05529142]",4,4,0
176,"[-0.06609339 -0.05322941 -0.04055337 ... -0.00792203 -0.0263875
 -0.04764487]",3,2,1
177,"[ 7.4539134e-06  1.8586133e-04 -1.6669312e-04 ...  4.5128437e-03
  4.5323703e-03  4.5430022e-03]",2,2,0
178,"[ 4.6280991e-05 -2.2067474e-04 -4.6797746e-04 ... -9.8055499e-03
 -7.9155434e-03 -5.3333803e-03]",4,3,1
179,"[-0.00068177 -0.00074671 -0.00062906 ...  0.00538534  0.00880712
  0.01349593]",4,2,2
180,"[-0.00023142 -0.00027987 -0.00023579 ... -0.05819982 -0.07083786
 -0.06809707]",3,1,2
181,"[-0.05808811 -0.0555219  -0.06440746 ... -0.0504127  -0.05125523
 -0.05827836]",2,1,1
182,[0.01672826 0.01912062 0.01651084 ... 0.01592394 0.01926815 0.02083286],2,0,2
183,"[-0.00098124 -0.00113139 -0.00098279 ... -0.0349062  -0.04024009
 -0.03874505]",2,1,1
184,"[-0.00390355 -0.00412837 -0.00248837 ... -0.08877694 -0.11557861
 -0.12583286]",3,1,2
185,"[-0.00577197 -0.00628666 -0.00504704 ...  0.03518265  0.00027023
 -0.0385481 ]",2,2,0
186,"[ 0.00062476  0.00118831  0.00132933 ... -0.11115467 -0.11746145
 -0.11515599]",2,1,1
187,"[ 0.16206285  0.14281467  0.12098574 ...  0.00222709 -0.02407304
 -0.06154236]",2,2,0
188,"[ 0.00587137  0.00639534  0.00381499 ... -0.00231686 -0.00294069
  0.00430558]",2,2,0
189,"[ 0.03110997  0.04073039  0.0510809  ... -0.01761203 -0.0033068
  0.00930395]",2,2,0
190,"[ 5.8178572e-05 -2.2341594e-05 -8.1759907e-05 ...  1.8603967e-03
  2.0063662e-03  2.1103378e-03]",2,0,2
191,[0.00041848 0.00048899 0.0004459  ... 0.00798004 0.0079657  0.00731891],4,2,2
192,[0.00299316 0.00265946 0.00241544 ... 0.00296656 0.00301147 0.00304561],2,1,1
193,[0.00062476 0.00118831 0.00132933 ... 0.11681546 0.12855397 0.12756723],4,3,1
194,"[-0.00047702 -0.00067393 -0.0008468  ... -0.0001741  -0.00014852
 -0.00022101]",4,3,1
195,"[-0.0154187  -0.01648805 -0.01434733 ...  0.01444995 -0.02282324
 -0.03488025]",2,0,2
196,[0.06096028 0.0455617  0.03372619 ... 0.11812489 0.10488658 0.0929133 ],2,1,1
197,"[-0.00216611  0.00011375  0.00235162 ...  0.0026686   0.01926885
 -0.01427053]",4,3,1
198,"[ 0.00033011 -0.00067722  0.00124747 ... -0.03551199 -0.0360017
 -0.03669034]",2,1,1
199,"[-6.5440647e-05 -2.5538399e-04 -2.8559697e-04 ... -8.4727583e-04
 -1.0985971e-03 -1.2146048e-03]",3,1,2
